login_timestamp,avg_users_before,avg_users_after
1517667588,1.0,0.0
1517828610,1.0,0.0
1518062400,1.0,0.0
1518175184,1.0,0.0
1518344617,1.0,0.0
1518391293,1.0,0.0
1518445736,1.0,0.0
1518478546,1.0,0.0
1518613028,1.0,0.0
1518679436,1.0,0.0
1518853694,1.0,0.0
1518981764,1.0,0.0
1519053289,1.0,0.0
1519070237,1.0,0.0
1519073133,1.0,0.0
1519186294,1.0,0.0
1519262581,1.0,0.0
1519266744,1.0,0.0
1519292435,1.0,0.0
1519316301,1.0,0.0
1519375414,1.0,0.0
1519395342,1.0,0.0
1519473525,1.0,0.0
1519502906,1.0,0.0
1519629137,1.0,0.0
1519649166,1.0,0.0
1519674535,1.0,0.0
1519688743,1.0,0.0
1519742330,1.0,0.0
1519805483,1.0,0.0
1519831557,1.0,0.0
1519845314,1.0,0.0
1519848217,1.0,0.0
1519870582,1.0,0.0
1519892882,1.0,0.0
1519897735,1.0,0.0
1519903467,1.0,0.0
1519920035,1.0,0.0
1519945380,1.0,0.0
1519953035,1.0,0.0
1519996019,1.0,0.0
1519996052,1.0,0.0
1519996395,1.0,0.0
1520041659,1.0,0.0
1520089691,1.0,0.0
1520152315,1.0,0.0
1520202389,1.0,0.0
1520211807,1.0,0.0
1520230382,1.0,0.0
1520233203,1.0,0.0
1520234908,1.0,0.0
1520257292,1.0,0.0
1520272987,1.0,0.0
1520307678,1.0,0.0
1520365683,1.0,0.0
1520367673,1.0,0.0
1520406875,1.0,0.0
1520445467,1.0,0.0
1520506099,1.0,0.0
1520519614,1.0,0.0
1520554008,1.0,0.0
1520554344,1.0,0.0
1520561413,1.0,0.0
1520564982,1.0,0.0
1520578143,1.0,0.0
1520586197,1.0,0.0
1520598274,1.0,0.0
1520622485,1.0,0.0
1520668455,1.0,0.0
1520695081,1.0,0.0
1520715356,1.0,0.0
1520769217,1.0,0.0
1520776914,1.0,0.0
1520780755,1.0,0.0
1520852587,1.0,0.0
1520889934,1.0,0.0
1520891009,1.0,0.0
1520911633,1.0,0.0
1520923388,1.0,0.0
1520926809,1.0,0.0
1520961994,1.0,0.0
1521009662,1.0,0.0
1521010370,1.0,0.0
1521010429,1.0,0.0
1521015386,1.0,0.0
1521020336,1.0,0.0
1521094805,1.0,0.0
1521096916,1.0,0.0
1521106841,1.0,0.0
1521108202,1.0,0.0
1521132423,1.0,0.0
1521176499,1.0,0.0
1521201262,1.0,0.0
1521253040,1.0,0.0
1521264649,1.0,0.0
1521276497,1.0,0.0
1521296665,1.0,0.0
1521301204,1.0,0.0
1521324106,1.0,0.0
1521327478,1.0,0.0
1521341202,1.0,0.0
1521354701,1.0,0.0
1521356969,1.0,0.0
1521396253,1.0,0.0
1521444084,1.0,0.0
1521467987,1.0,0.0
1521495986,1.0,0.0
1521499313,1.0,0.0
1521500571,1.0,0.0
1521500699,1.0,0.0
1521504905,1.0,0.0
1521512340,1.0,0.0
1521512625,1.0,0.0
1521548625,1.0,0.0
1521577074,1.0,0.0
1521584764,1.0,0.0
1521605039,1.0,0.0
1521607966,1.0,0.0
1521612766,1.0,0.0
1521620914,1.0,0.0
1521620977,1.0,0.0
1521632608,1.0,0.0
1521663121,1.0,0.0
1521680076,1.0,0.0
1521729910,1.0,0.0
1521765103,1.0,0.0
1521776434,1.0,0.0
1521802335,1.0,0.0
1521822005,1.0,0.0
1521855832,1.0,0.0
1521868753,1.0,0.0
1521875821,1.0,0.0
1521879201,1.0,0.0
1521883579,1.0,0.0
1521887301,1.0,0.0
1521899597,1.0,0.0
1521909995,1.0,0.0
1521927143,1.0,0.0
1521934244,1.0,0.0
1521959157,1.0,0.0
1521969793,1.0,0.0
1522049437,1.0,0.0
1522142028,1.0,0.0
1522158482,1.0,0.0
1522164915,1.0,0.0
1522223552,1.0,0.0
1522256474,1.0,0.0
1522262350,1.0,0.0
1522275613,1.0,0.0
1522289030,1.0,0.0
1522307029,1.0,0.0
1522345102,1.0,0.0
1522362175,1.0,0.0
1522371274,1.0,0.0
1522443353,1.0,0.0
1522469738,1.0,0.0
1522490495,1.0,0.0
1522528487,1.0,0.0
1522529083,1.0,0.0
1522538949,1.0,0.0
1522563677,1.0,0.0
1522611660,1.0,0.0
1522613711,1.0,0.0
1522703747,1.0,0.0
1522714390,1.0,0.0
1522733008,1.0,0.0
1522776318,1.0,0.0
1522799751,1.0,0.0
1522801090,1.0,0.0
1522804458,1.0,0.0
1522835739,1.0,0.0
1522883217,1.0,0.0
1522898194,1.0,0.0
1522915686,1.0,0.0
1522917376,1.0,0.0
1522932953,1.0,0.0
1522945260,1.0,0.0
1522962431,1.0,0.0
1523010615,1.0,0.0
1523076879,1.0,0.0
1523078596,1.0,0.0
1523083508,1.0,0.0
1523126826,1.0,0.0
1523134798,1.0,0.0
1523161675,1.0,0.0
1523177922,1.0,0.0
1523196906,1.0,0.0
1523198282,1.0,0.0
1523237577,1.0,0.0
1523267085,1.0,0.0
1523401174,1.0,0.0
1523502248,1.0,0.0
1523520463,1.0,0.0
1523566748,1.0,0.0
1523630232,1.0,0.0
1523657748,1.0,0.0
1523684549,1.0,0.0
1523698176,1.0,0.0
1523731026,1.0,0.0
1523731311,1.0,0.0
1523750093,1.0,0.0
1523762855,1.0,0.0
1523804419,1.0,0.0
1523805617,1.0,0.0
1523820757,1.0,0.0
1523837396,1.0,0.0
1523890788,1.0,0.0
1523895320,1.0,0.0
1523905972,1.0,0.0
1523907888,1.0,0.0
1523985813,1.0,0.0
1523986140,1.0,0.0
1524014576,1.0,0.0
1524042180,1.0,0.0
1524048911,1.0,0.0
1524076075,1.0,0.0
1524104549,1.0,0.0
1524117258,1.0,0.0
1524131193,1.0,0.0
1524225424,1.0,0.0
1524226059,1.0,0.0
1524254724,1.0,0.0
1524263366,1.0,0.0
1524303181,1.0,0.0
1524310669,1.0,0.0
